Name	Pitch	Cost	Power	Defense	Types	Card Keywords	Ability and Effect Keywords	Class
10,000 Year Reunion	1	8		3	Action, Aura	Ward 10		Illusionist
A Drop in the Ocean	3	0			Instant	Legendary, Transcend		Mystic
Absorb in Aether	1, 2, 3	1		2, 3, 4	Defense Reaction			Wizard
Absorption Dome	2	0			Action, Item			Mechanologist
Adrenaline Rush	1, 2, 3	2	2, 3, 4	2	Action, Attack			Generic
Aether Arc	3	0		3	Action			Wizard
Aether Dart	1, 2, 3	0		3	Action			Wizard
Aether Flare	1, 2, 3	1		3	Action			Wizard
Aether Hail	1, 2, 3	1		3	Ice, Action			Wizard
Aether Icevein	1, 2, 3	3		3	Elemental, Action	Ice Fusion		Wizard
Aether Quickening	1, 2, 3	1		3	Action	Surge, Go again		Wizard
Aether Sink	2	1			Action, Item		Go again, Arcane Barrier 2	Mechanologist
Aether Slash	1, 2, 3	1	2, 3, 4	3	Action, Attack			Runeblade
Aether Spindle	1, 2, 3	2		3	Action	Opt X		Wizard
Aether Wildfire	1	2		3	Action			Wizard
Aetherize	3	1			Instant	Negate		Wizard
Agile Engagement	1, 2, 3	1		2	Attack Reaction			Warrior
Agile Windup	1, 2, 3	3	5, 6, 7	2	Action, Attack			Brute, Warrior
Alluring Inducement	2	2	2	2	Shapeshifter, Action, Attack	Shiyana Specialization, Unity		
Alpha Rampage	1	3	9	3	Attack, Action	Rhinar Specialization, Intimidate		Brute
Already Dead	1	2	6	3	Action, Attack	Contract		Assassin
Amnesia	1	2	6	3	Action, Attack			Generic
Amplify the Arknight	1, 2, 3	3	4, 5, 6	3	Action, Attack			Runeblade
Amplifying Arrow	2	0	2	3	Action, Arrow, Attack			Ranger
Amulet of Assertiveness	2	0			Action, Item	Go again		Generic
Amulet of Earth	3	0			Earth, Action, Item	Go again		
Amulet of Echoes	3	0			Action, Item	Go again		Generic
Amulet of Havencall	3	0			Action, Item	Go again		Generic
Amulet of Ice	3	0			Ice, Action, Item	Go again		
Amulet of Ignition	2	0			Action, Item	Go again		Generic
Amulet of Intervention	3	0			Action, Item	Go again		Generic
Amulet of Lightning	3	0			Lightning, Action, Item	Go again		
Amulet of Oblation	3	0			Action, Item	Go again		Generic
Ancestral Empowerment	1	0		3	Attack Reaction			Ninja
Ancestral Harmony	3	0		3	Action	Go again		Ninja
